date,code,open,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2013-02-20,sh.000300,2686.0930,2702.6350,2685.6060,7001937700,73636360656.0000,3,0.004157,1,0.634086,0
2013-02-21,sh.000300,2675.7410,2610.5490,2702.6350,10065798400,103619498796.0000,3,0.005964,1,-3.407265,0
2013-02-22,sh.000300,2607.6500,2596.6040,2610.5490,6020485200,65899100176.0000,3,0.003567,1,-0.534181,0
2013-02-25,sh.000300,2607.1490,2604.9600,2596.6040,5316194200,55614493314.0000,3,0.003149,1,0.321803,0
2013-02-26,sh.000300,2587.3750,2567.5950,2604.9600,8000306500,83373960556.0000,3,0.004729,1,-1.434379,0
2013-02-27,sh.000300,2576.0460,2594.6770,2567.5950,6322674300,64612274221.0000,3,0.003737,1,1.054763,0
2013-02-28,sh.000300,2611.9400,2673.3270,2594.6770,8692259500,92235377254.0000,3,0.005138,1,3.031202,0
2013-03-01,sh.000300,2671.8420,2668.8360,2673.3270,7334375300,80342747703.0000,3,0.004335,1,-0.167992,0
2013-03-04,sh.000300,2619.4200,2545.7150,2668.8360,11061910300,112585043728.0000,3,0.006536,1,-4.613279,0
2013-03-05,sh.000300,2547.8930,2622.8070,2545.7150,8966115200,92357133815.0000,3,0.005298,1,3.028296,0
2013-03-06,sh.000300,2634.8700,2650.2020,2622.8070,9582965200,95048891279.0000,3,0.005661,1,1.044492,0
2013-03-07,sh.000300,2639.7830,2619.4790,2650.2020,9408266600,96498095994.0000,3,0.005558,1,-1.159266,0
2013-03-08,sh.000300,2622.6840,2606.9270,2619.4790,5942955700,63054592405.0000,3,0.003511,1,-0.479179,0
2013-03-11,sh.000300,2600.2780,2592.3720,2606.9270,5094643600,52460900851.0000,3,0.003009,1,-0.558318,0
2013-03-12,sh.000300,2590.3910,2555.6150,2592.3720,7193514100,71675127580.0000,3,0.004249,1,-1.417894,0
2013-03-13,sh.000300,2551.7260,2527.4860,2555.6150,5643046000,56003723639.0000,3,0.003333,1,-1.100671,0
2013-03-14,sh.000300,2517.7450,2534.2730,2527.4860,4760575600,49929775447.0000,3,0.002812,1,0.268522,0
2013-03-15,sh.000300,2533.7220,2539.8730,2534.2730,8137218500,82749877355.0000,3,0.004805,1,0.220974,0
2013-03-18,sh.000300,2526.0770,2502.4930,2539.8730,5981277800,63093556699.0000,3,0.003532,1,-1.471732,0
2013-03-19,sh.000300,2507.3960,2525.0970,2502.4930,5453647600,55601011985.0000,3,0.003219,1,0.903259,0
